#start
#stop
# omega	 amplitude	 phase
65.031	0.000580187	0.849879
65.188	0.0005621	0.294315
65.3451	0.000308125	-0.0551607
65.5022	0.0002563	0.76636
65.6593	0.000487094	0.521861
65.8164	0.000506823	-0.0898221
65.9734	0.000287389	-0.594894
66.1305	0.000167659	0.372008
66.2876	0.000402103	0.200952
66.4447	0.000455605	-0.470762
66.6018	0.000276899	-1.12451
66.7588	8.73781e-05	-0.0698597
66.9159	0.000323558	-0.0883581
67.073	0.000405819	-0.831775
67.2301	0.000271	-1.61574
67.3872	2.11725e-05	-0.964996
67.5442	0.000254558	-0.322447
67.7013	0.000357596	-1.15914
67.8584	0.000264361	-2.05055
68.0155	4.09996e-05	2.87452
68.1726	0.000200316	-0.491277
68.3296	0.000313722	-1.45139
68.4867	0.000254954	-2.43199
68.6438	7.87373e-05	2.39213
68.8009	0.000163191	-0.607744
68.958	0.000277255	-1.71825
69.115	0.000244675	-2.77558
69.2721	0.000105185	2.04751
69.4292	0.000140516	-0.698051
69.5863	0.000248808	-1.97112
69.7434	0.000236143	-3.09645
69.9004	0.000125398	1.74171
70.0575	0.000127631	-0.774342
70.2146	0.000226024	-2.21243
70.3717	0.00022931	2.88193
70.5288	0.000142394	1.45548
70.6858	0.000121789	-0.840256
70.8429	0.000206139	-2.43771
71	0.0002221	2.59197
71.1571	0.000156091	1.17854
71.3142	0.000121838	-0.91345
71.4712	0.000188155	-2.6433
71.6283	0.000212883	2.31612
71.7854	0.000165353	0.903586
71.9425	0.000126251	-1.0215
72.0996	0.000173213	-2.83149
72.2566	0.000202249	2.05344
72.4137	0.000170312	0.6291
72.5708	0.000132818	-1.17502
72.7279	0.000162734	-3.00892
72.8849	0.000192054	1.80485
73.042	0.000172291	0.360268
73.1991	0.000139535	-1.36253
73.3562	0.000156547	3.10012
73.5133	0.000183425	1.57087
73.6703	0.000172455	0.102743
73.8274	0.000145078	-1.56723
73.9845	0.00015311	2.92346
74.1416	0.000176276	1.34838
74.2987	0.000171381	-0.143387
74.4557	0.000148966	-1.77931
74.6128	0.000150933	2.74112
74.7699	0.000170099	1.1321
74.927	0.0001694	-0.382416
75.0841	0.000151407	-1.99644
75.2411	0.000149402	2.55137
75.3982	0.000164771	0.917628
75.5553	0.000167086	-0.618439
75.7124	0.000153159	-2.21773
75.8695	0.000148628	2.35632
76.0265	0.000160317	0.705805
76.1836	0.000164609	-0.851014
76.3407	0.000154395	-2.44131
76.4978	0.000148476	2.15726
76.6549	0.000156667	0.497288
76.8119	0.000161969	-1.07919
76.969	0.000155028	-2.66556
77.1261	0.000148632	1.95471
77.2832	0.000153639	0.291599
77.4403	0.000159071	-1.30295
77.5973	0.000154873	-2.89023
77.7544	0.000148777	1.74741
77.9115	0.000151217	0.0860813
78.0686	0.000156182	-1.52349
78.2257	0.000154126	-3.11481
78.3827	0.000148807	1.53575
78.5398	0.000149373	-0.120794
78.6969	0.000153569	-1.74171
78.854	0.0001531	2.94481
79.0111	0.000148738	1.32169
79.1681	0.000147963	-0.32856
79.3252	0.000151219	-1.95764
79.4823	0.000151839	2.72284
79.6394	0.000148472	1.10618
79.7965	0.000146814	-0.537477
79.9535	0.000149111	-2.17197
80.1106	0.000150419	2.50256
80.2677	0.000147961	0.890015
80.4248	0.00014573	-0.747656
80.5819	0.000147145	-2.38596
80.7389	0.000148936	2.28279
80.896	0.000147366	0.673046
81.0531	0.00014479	-0.958616
81.2102	0.000145326	-2.59915
81.3672	0.00014736	2.06379
81.5243	0.000146641	0.455225
81.6814	0.000143972	-1.17084
81.8385	0.000143727	-2.81196
81.9956	0.00014581	1.84584
82.1526	0.000145828	0.237487
82.3097	0.000143193	-1.38352
82.4668	0.000142227	-3.02429
82.6239	0.000144207	1.62862
82.781	0.00014489	0.0193649
82.938	0.000142446	-1.59725
83.0951	0.000140875	3.0465
83.2522	0.000142643	1.41201
83.4093	0.0001439	-0.198811
83.5664	0.000141743	-1.81154
83.7234	0.000139649	2.83437
83.8805	0.000141086	1.19622
84.0376	0.000142809	-0.416947
84.1947	0.000141035	-2.02659
84.3518	0.000138547	2.6221
84.5088	0.000139581	0.98117
84.6659	0.000141644	-0.634783
84.823	0.000140286	-2.24216
84.9801	0.000137514	2.40952
85.1372	0.000138119	0.76643
85.2942	0.000140441	-0.852619
85.4513	0.000139547	-2.45833
85.6084	0.000136599	2.19676
85.7655	0.000136729	0.552422
85.9226	0.000139172	-1.06998
86.0796	0.000138741	-2.67499
86.2367	0.00013575	1.98337
86.3938	0.000135446	0.338643
86.5509	0.000137917	-1.28681
86.708	0.000137901	-2.89161
86.865	0.00013492	1.76979
87.0221	0.000134201	0.125054
87.1792	0.000136643	-1.50346
87.3363	0.000137034	-3.1085
87.4934	0.000134134	1.55589
87.6504	0.000133013	-0.0883121
87.8075	0.000135353	-1.71986
87.9646	0.00013614	2.95748
88.1217	0.000133405	1.34155
88.2788	0.000131914	-0.30138
88.4358	0.000134057	-1.93568
88.5929	0.00013518	2.74021
88.75	0.000132681	1.12667
88.9071	0.000130888	-0.514538
89.0642	0.000132781	-2.15118
89.2212	0.000134186	2.52281
89.3783	0.000131988	0.911192
89.5354	0.000129981	-0.727745
89.6925	0.000131572	-2.36595
89.8495	0.000133148	2.30593
90.0066	0.000131247	0.695523
90.1637	0.000129106	-0.941237
90.3208	0.00013041	-2.58052
90.4779	0.000132103	2.08932
90.6349	0.000130487	0.479787
90.792	0.000128252	-1.15479
90.9491	0.000129256	-2.79488
91.1062	0.000131016	1.87269
91.2633	0.000129709	0.263532
91.4203	0.000127462	-1.36878
91.5774	0.000128175	-3.00902
91.7345	0.000129931	1.65641
91.8916	0.000128907	0.0471422
92.0487	0.000126707	-1.58304
92.2057	0.00012715	3.06025
92.3628	0.000128832	1.44048
92.5199	0.000128056	-0.169445
92.677	0.000125973	-1.79792
92.8341	0.000126216	2.84616
92.9911	0.000127794	1.22494
93.1482	0.000127206	-0.385713
93.3053	0.00012524	-2.01273
93.4624	0.000125296	2.63227
93.6195	0.000126732	1.00963
93.7765	0.000126309	-0.602254
93.9336	0.000124531	-2.22822
94.0907	0.000124484	2.4182
94.2478	0.000125745	0.794917
94.4049	0.00012539	-0.818185
94.5619	0.000123775	-2.44371
94.719	0.000123684	2.20393
94.8761	0.000124787	0.580437
95.0332	0.000124439	-1.03377
95.1903	0.000122951	-2.65937
95.3473	0.000122863	1.98904
95.5044	0.000123873	0.365428
95.6615	0.000123552	-1.24955
95.8186	0.000122184	-2.87498
95.9757	0.000122083	1.7744
96.1327	0.000122963	0.150678
96.2898	0.000122652	-1.46543
96.4469	0.000121456	-3.09095
96.604	0.000121401	1.55992
96.7611	0.000122096	-0.0630642
96.9181	0.000121653	-1.68046
97.0752	0.000120587	2.97582
97.2323	0.000120712	1.34418
97.3894	0.000121355	-0.27735
